文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1,时间
财鑫闻丨北上广深等城市“认房不认贷”预计后期仍有政策跟进月日，北京、上海宣布执行“认房不认贷”政策，两日内，广州、深圳、厦门、武汉等城市官宣落实“认房不认贷”，北上广深四个一线城市均官宣“认房不认贷”。这也是对前一天重磅政策的落实响应。月日，中国人民银行、国家金融监督管理总局两部门连续发布《关于调整优化差别化住房信贷政策的通知》和《关于降低存量首套住房贷款利率有关事项的通知》（下文简称《通知》）两大重磅政策，意味购房者的购房门槛和成本大幅下调。对于密集出台的调控政策，专家称之为是近年来调控力度最大的楼市政策，预计后期仍会有相应政策出台。财鑫闻丨北上广深等城市“认房不认贷”预计后期仍有政策跟进;0.0002128565346956;0.6973695718771811;0.920636681685451;0.004939762810690038,,,,,
特别关注重要调整事关房贷中国人民银行、金融监管总局月日联合发布《关于调整优化差别化住房信贷政策的通知》和《关于降低存量首套住房贷款利率有关事项的通知》。有关负责同志就政策调整回答了记者提问。详情请看重要调整事关房贷（刘宏宇）;0.0001064282673478;0.9998995460960436;0.7017399320252903;0.0026993387758609713,,,,,
利息少了万购房者激动得一夜没睡月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。;0.0001064282673478;-0.0729857459449518;0.7017399320252903;-0.00019703304685311088,,,,,
降存量房贷利率利息少了万购房者激动得一夜没睡一线城市全部认房不认贷月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整展开;0.0001064282673478;0.4944006027241745;0.7017399320252903;0.0013346887924421673,,,,,
利息少了万购房者激动得一夜没睡降存量房贷利率央行、金融监管总局重磅发布有购房者激动得一夜没睡“总利息少了万，每月少还多元”你的月供究竟能降多少？月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。;0.0001064282673478;0.5657194090564183;0.5543175132152683;0.001206381061337855,,,,,
四川首套房贷利率执行下限发布月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价展开;0.0006385696040868;0.2293840176391065;0.8627078569710449;0.004567756985666984,,,,,
存量房贷下调政策有点难懂？几个典型案例告诉你如何降、能不能降哪些房贷利率可以调整？据第一财经，月日，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。《通知》明确，自年月日起，存量首套住房商业性个人住房贷款的借款人可向金融机展开;0.0014899957428693;-0.0673037926266429;0.5636005458391552;-0.00204297856569333,,,,,
存量房贷利率下调政策五大关键点能节省多少房贷利息？对于中国人民银行、金融监管总局发布的《关于降低存量首套住房贷款利率有关事项的通知》，我们该如何理解？降低存量首套住房贷款利率，具体又该怎么操作？接下来，通过梳理政策五大关键点来帮您解读。央视网的微博视频展开;0.0013835674755214;-0.0523694070307883;0.4886117259306874;-0.0012797045840019052,,,,,
存量房贷利率下调政策五大关键点对于中国人民银行、金融监管总局发布的《关于降低存量首套住房贷款利率有关事项的通知》，该如何理解？降低存量首套住房贷款利率，具体又该怎么操作？央视网的微博视频;0.0081949765857811;0.051901345794554;0.4367435754644941;0.006714608582323344,,,,,
利息少了万购房者激动得一夜没睡降存量房贷利率央行、金融监管总局重磅发布有购房者激动得一夜没睡“总利息少了万，每月少还多元”你的月供究竟能降多少？月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。搜狐视频的微博视频;0.0003192848020434;0.5673081925040616;1.0;0.006547343730518669,,,,,
首套房按揭利率政策下限公布月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利展开;0.0006385696040868;0.7760604203940669;0.7019320842520224;0.012573804702005925,,,,,
存量房贷利率下调政策五大关键点对于中国人民银行、金融监管总局发布的《关于降低存量首套住房贷款利率有关事项的通知》，我们该如何理解？降低存量首套住房贷款利率，具体又该怎么操作？接下来，通过梳理政策五大关键点来帮您解读。央视网的微博视频;0.011600681140911;0.9408944740387806;0.7052947482198325;0.27826776349112575,,,,,
利息少了万购房者激动得一夜没睡降存量房贷利率央行、金融监管总局重磅发布有购房者激动得一夜没睡“总利息少了万，每月少还多元”你的月供究竟能降多少？月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日展开;0.0041507024265644;0.2683114399056618;0.5514585747572931;0.022199414623363847,,,,,
“金九银十”前夜，楼市重磅金融支持政策落地，购房门槛、成本将明显降低。月日晚间，央行、国家金管总局发出《关于调整优化差别化住房信贷政策的通知》，《关于降低存量首套住房贷款利率有关事项的通知》，以支持各地因城施策用好政策工具箱，引导个人住房贷款实际首付比例和利率下行。展开;0.0008514261387824;0.2877814258285525;0.7027006931589505;0.006223690116596196,,,,,
江苏公布首套房贷款利率下限执行情况月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市展开;0.0001064282673478;-0.6427213026808265;0.7018360081386563;-0.0017353343859794425,,,,,
江苏公布首套房按揭利率政策下限江苏省各设区市首套房按揭利率政策下限公布月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日下午，中国人民银行江苏省分行官网发布消息，公布了近几年江苏省内各城市首套房贷款利率下限执行情况。;0.0001064282673478;-0.2124895088716969;0.5750224804672549;-0.000470053345619344,,,,,
楼市放出多年未见大招，房价是跌是涨？靴子终于落地。月日下午时许，中国人民银行、国家金融监督管理总局发布最新通知，调整优化住房信贷政策，其中，首套住房商贷最低首付款不低于，二套住房商贷最低首付款不低于。本次降低首付的力度可谓多年未有；此外，房贷利率也将进行较大力度的优化调整，包括降低存量房贷利率。这一政策组合拳可谓掷地有声，本次出台楼市新政，有何深意？楼市会迎来什么变化？首付比例几乎降至历史下限月日，中国人民银行、国家金融监督管理总局发布《关于调整优化差别化住房信贷政策的通知》，其中主要有四条内容。第一条是对于贷款购买商品住房的居民家庭，首套住房商业性个人住房贷款最低首付款比例统一为不低于，二套住房商业性个人住房贷款最低首付款比例统一为不低于。这一新政即为首套房首付、二套房首付，近十年前，这一政策曾出台过，其后多年，首套房首付最低、二套房首付最低的房贷政策在全国层面长期执行，部分城市有所加码，二套房首付比例要求更高。以一套总价万元的房子为例，此前首套房首付需要万元，而按照最新政策，首付只需要万元，首付资金低了很多；而如果是二套房，此前首付需要万，部分城市需要万元，而如今只需要万，购房门槛大为降低。对此，中指研究院指数研究部总经理曹晶晶表示，从首付比例来看，不论是首套房还是二套房，其最低首付比例几乎已经降至历史下限，这将能显著降低购房门槛，凸显了政策面保刚需、促改善、稳市场的用意。第二条是首套住房商业性个人住房贷款利率政策下限按现行规定执行，二套住房商业性个人住房贷款利率政策下限调整为不低于相应期限贷款市场报价利率加个基点。即首套房利率政策不变，目前五年期以上为，部分城市执行的是下调个基点、再优惠个左右基点的政策，其房贷利率为甚至更低，比如郑州、福州的首套房贷利率已调至左右。而对于二套房贷款利率，此前多个城市执行的是上调个基点，实际二套房贷利率为，根据此次最新政策，二套房上浮基点不低于个基点即可，这无疑赋予了下调二套房贷利率上浮基点的空间。第三、四条规定，中国人民银行、金融监管总局各派出机构按照因城施策原则，根据辖区内各城市房地产市场形势及当地调控要求，自主确定各城市首套和二套住房商贷最低首付款比例和利率下限；各大银行业金融机构应据此首付比例和利率下限，合理确定每笔贷款的具体首付款比例和利率水平。中国人民银行、国家金融监督管理总局有关负责人表示，此次差别化住房信贷政策调整优化的重点在于，一是统一全国商业性个人住房贷款最低首付款比例政策下限即不再区分实施“限购”城市和不实施“限购”城市，首套住房和二套住房商贷最低首付款比例政策下限统一为不低于和；二是将二套住房利率政策下限调整为不低于相应期限贷款市场报价利率（）加个基点。曹晶晶表示，此次金融监管部门打开了首付比例和利率下调的空间，根据目前的市场形势和金融监管部门的这一要求，首套房首付、二套房首付的新政将会逐步落地，二套房贷利率也将下调，尤其是由于当前多数城市房地产下行压力较大，因此预计二线城市将很快调整至下限水平等，从政策调整力度看，本次楼市新政具有较高的含金量。楼市仍处于下行期今年以来，楼市曾在、月份有所回升，但进入下半年，楼市多个指标均呈现下跌态势。国家统计局公布，月份，全国房地产开发投资亿元，同比下降；其中，住宅投资亿元，下降。月份，房地产开发企业房屋施工面积万平方米，同比下降。房屋新开工面积万平方米，下降。其中，住宅新开工面积万平方米，下降。与此同时，楼市成交量价也出现下滑，月份，商品房销售面积万平方米，同比下降。尤其是，今年上半年商品房销售额连续多月保持同比正增长的态势，但月份以来，前个月商品房销售额亿元，下降。月份，个大中城市中，新建商品住宅和二手住宅价格环比上涨城市分别有个和个，比上月分别减少个和个；同比上涨城市分别有个和个，比上月均减少个。对此，国家统计局城市司首席统计师绳国庆表示，年月份，个大中城市商品住宅销售价格上涨城市个数减少，各线城市商品住宅销售价格环比持平或下降、同比有涨有降。“目前市场显然是跌过头了，”月日，在万科年中期业绩推介会上，万科董事会主席郁亮表示，市场低迷持续了一段时间，市场情绪已经受到影响，容易出现各种“过度反应”。他表示，以新开工数来看，年新开工数下降，年新开工量下降，今年上半年继续下降约。如果以年作为基数，新开工数已经整体下降约，回到了年的水平。中国社科院财经战略研究院住房大数据项目组组长邹琳华向中国新闻周刊表示，房地产领域的风险点较多且连接面广，比如烂尾楼风险、房地产企业爆雷风险、土地财政风险、断供风险等，都属于非常棘手的风险。这些风险一旦触发，容易直接联接金融体系和地方财政。因而，房地产相对更容易率先引发经济风险。邹琳华认为，与日本房地产泡沫期相比，我国仍处于城市化阶段，人均收入和生活水平离发达国家还在差距，存在一定规模潜在的刚性和改善性住房需求。只要政策及时妥当，房地产领域的风险相对更为可控。但如果房价在内外部因素的综合作用下持续下滑且无有效抑制手段，这些风险点也容易被触发。由于房地产风险连接面广，抑制房地产风险的蔓延，就需要付出更大成本。中国人民银行、国家金融监督管理总局有关负责人表示，月日中央政治局会议明确，适应我国房地产市场供求关系发生重大变化的新形势，适时调整优化房地产政策，因城施策用好政策工具箱。月日国务院常务会议提出，根据不同需求、不同城市等推出有利于房地产市场平稳健康发展的政策举措，加快研究构建房地产业新发展模式。根据部署，此次对现行差别化住房信贷政策进行了调整优化，支持各地因城施策用好政策工具箱，引导个人住房贷款实际首付比例和利率下行，更好满足刚性和改善性住房需求。楼市会怎样走？邹琳华表示，为了及时有效应对周期性、结构性供大于求带来的市场冲击，以及防范可能由此触发的经济风险，同时支持刚性和改善性住房需求，可采取调整优化措施。为此，他建议，一是及时撤销对于住房需求不合时宜的管控限制。这些限制措施包括限购、限贷、限售、限价、限非普住宅等。这些限制措施大都是基于住房短缺、投资投机动力强大的市场背景所制订，既然房地产市场供求形势已经发生了重大变化，住房已经不再供不应求，甚至还出现了销售困难，住房投资投机者也不再涌入住房市场，这些限制政策显然已经不合时宜。此外，这些限制性政策还限制了居民刚性和改善性住房需求的释放，妨碍了市场信心的恢复，所以应该及时全面调整。二是大幅降低购房贷款利率。从当前的信贷市场供求看，无抵押的消费贷利率已经降至左右，且对这类资金的市场需求仍不足。参照无抵押消费贷利率的供求状况，目前的房贷利率水平还需要大幅降低，才可能会对市场信心恢复有一定作用。从这一角度看，楼市政策仍有调整空间。年月日，住房城乡建设部、中国人民银行、金融监管总局三部门发布《关于优化个人住房贷款中住房套数认定标准的通知》，“认房不认贷”政策终于要走向落地。月日，一线城市中的广州与深圳已经在同一天出台规定落实“认房不认贷政策”。邹琳华表示，“认房不认贷”可以释放部分购房需求，对市场信心有一定的提振作用。月日，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。自年月日起，降低存量首套住房商业性个人住房贷款利率。中国人民银行、国家金融监督管理总局有关负责人表示，对于符合条件的存量住房贷款，可由借款人主动向承贷银行提出申请，也鼓励银行以发布公告、批量办理等方式，为借款人提供更为便利的服务。调整方式上，既可以变更合同约定的住房贷款利率加点幅度，也可以由银行新发放贷款置换存量贷款，具体利率调整幅度由借贷双方协商确定。中国首席经济学家论坛理事长、上海市经济学会副会长连平表示，降低存量房贷利率可以减轻购房者的利息负担，对于刺激消费、推动房地产市场复苏会有积极作用。曹晶晶表示，整体来看，月底房地产政策优化节奏加快，多项利好政策集中赶在“金九银十”到来之前落地，将有助于促进房地产市场信心修复和预期改善，推动刚需和改善性需求入市，激活市场交易。郁亮认为，“楼市的确有前所未有的压力”，但是，政策正在发力，并且对“盘活存量项目”等对行业中长期有重大影响的方面都有提出要求，是一种对行业的鼓舞。首都经济贸易大学京津冀房地产研究院院长赵秀池告诉中国新闻周刊，楼市跟着人口走，作为人口基数大、新增人口多的一二线城市，其市场仍有一定的发展潜力。在郁亮看来，目前我国城镇化率，这个数字如果预计达到，保守估计全国每年应该有亿亿平方米的新开工数才是合理水平，目前是超跌了。房地产行业能回到健康的水平，过程中会有曲折和波浪。（中国新闻周刊）;0.0156449553001277;-0.173203795890983;0.4682034391536192;-0.04586001279252741,,,,,
有房贷的人开始焦虑排不上队利率真要降了买房人恨不得今天就是月日月日晚间点左右，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。据有关负责人介绍，符合条件的存量首套住房贷款是指，年月日前金融机构已发放，已签订合同但展开;0.0029799914857386;-0.306866685625193;0.583525312862031;-0.0192882268789827,,,,,
房贷政策调整谁获益最大？日前，中国人民银行、国家金融监督管理总局联合下发《关于调整优化差别化住房信贷政策的通知》和《关于降低存量首套住房贷款利率有关事项的通知》，相关政策一经发布当即引发市场强烈关注。你的月供究竟能降多少两项通知内容均直接指向与房地产消费者最为关心的项目。差别化住房信贷政策调整优化的重点是，将统一全国商业性个人住房贷款最低首付款比例政策下限，首套为、二套为，不再区分实施“限购”城市和不实施“限购”城市。住房利率政策下限亦调整。各地可按照因城施策原则，在不低于上述全国统一政策基础上，自主确定辖区内首套和二套住房最低首付款比例和利率下限。《关于降低存量房首套住房贷款利率有关事项的通知》明确，年月日起，存量首套住房商业性个人住房贷款的借款人可向金融机构提出申请，由金融机构新发放贷款置换存量首套住房商业性个人住房贷款。据不完全统计和测算，目前，大部分城市存量房贷的利率最低下限是，此前购房者基本是按照左右的房贷利率购房，此次存量房贷利率调整后，房贷利率或能降低个基点以上。加上近日一些地方出台的“认房不认贷”新规，一些住房可能重新被认定为“首套”，从而享受新出台政策优惠。几千万户、上亿居民的财务负担或会有较明显下降，平均降幅或约为个百分点，预计对市场影响颇大。市场供求变化的必然结果“新政”晚间出通告，似乎非常突然，其实市场预期已久。月日金融统计数据情况新闻发布会上，央行政策司司长邹澜表示：“按照市场化、法治化原则，我们支持和鼓励商业银行与借款人自主协商变更合同约定，或者是新发放贷款置换原来的存量贷款。”这已经拉开政策调整市场沟通和预期的序幕。随后，月日，中国人民银行、国家外汇管理局召开年下半年工作会议，提出“将因城施策精准实施差别化住房信贷政策，继续引导个人住房贷款利率和首付比例下行，更好满足居民刚性和改善性住房需求。指导商业银行依法有序调整存量个人住房贷款利率。”月日，央行、金监局、证监会联合召开金融支持实体经济和防范化解金融风险电视会议，强调“要继续推动实体经济融资成本稳中有降，规范贷款利率定价秩序，统筹考虑增量、存量及其他金融产品价格关系”。月日开始，各大银行针对存量住房贷款利率下调发声，至此，市场基本上有共识，认为“箭在弦上”了。当然，政策密集发声、“步步为营”旨在引导市场预期，但市场预期的基础还是宏观经济形势，政策设置也同样是大形势下的相机顺应。在月日的发布会上，关于存量贷款表述前还有一段叙述，谈及房地产相关问题时，邹澜表示，“部分房企长期积累的风险仍然需要一段时间才能逐步消化考虑到我国房地产市场供求关系已经发生深刻变化”这个“深刻变化”在两个新政《通知》出台时，似也有相关监管部门工作人员提及。年，人民币个人住房贷款加权平均利率均值为，而年上半年新发放个人住房贷款加权平均利率为，前者高出后者。由于经济还在弱复苏过程中，居民资产端收益率也明显回落，如个月理财产品预期年化收益率降至、为历史最低水平。存量房贷利率高于理财、存款等稳健收益产品，居民“借新还旧、借短还长”等提前还贷意愿明显增加，提前偿还房贷需求提升。今年月，新增居民中长期贷款为负，或为居民提前偿还房贷超过当月新增贷款所致。由此可见，存量房贷利率调降是市场供求变化带来的必然结果。金融市场健康稳定发展所需降低存量房贷利率有什么好处呢？从购房端来看，居民固然会因房贷付息压力减轻，获得益处。对于房地产供给方而言，也可能刺激更多一些的需求。而对于银行等金融机构来说，虽然表面上看，存量房贷降息将会带来利息的损失，但若利率水平与市场供求形势发生扭曲，提前还贷等实则为居民对资产负债表的调整，居民资产负债表呈现收缩，商业银行经营收益也受到一定影响，并可能对金融市场造成扰动，调降利率也不能不说是金融市场健康稳定发展的需求。回看历史，年月，央行宣布决定“商业性个人住房贷款利率的下限扩大为贷款基准利率的倍”，该优惠举措主要针对于新增客户，但不少存量贷款客户通过转按揭的方式再度成为“新增客户”，从而享受七折利率优惠。房地产对经济有相当重要的支撑作用，而住房贷款是居民债务最主要的构成部分。如何稳定市场信心、降低负债端成本、稳定地产行业、提升消费能力，始终是经济的重要命题和目标。非常时期更加需要非常办法。当然，今时不同往日，就房贷而言，对比年已是更大的规模和挑战，对银行净息差和利润的影响也在加大。就房地产市场和其他消费市场而言，其规模和挑战都与十多年前不可同日而语。当我们看到一项政策的出台时，更多的配套政策和工具也需要都在路上，以保证每项政策的实际操作性，以及所有政策和工具的相互配合度，更重要的是，要不断适应变化的市场。（新京报）利息少了万购房者激动得一夜没睡;0.001064282673478;0.0043245961150936;0.5522415914064825;9.187545384201652e-05,,,,,
利息少了万购房者激动得一夜没睡降存量房贷利率有购房者激动得一夜没睡“总利息少了万，每月少还多元”你的月供究竟能降多少？月日晚间，中国人民银行和国家金融监督管理总局发布《关于降低存量首套住房贷款利率有关事项的通知》，自年月日起实施。借款人可选择新发放贷款置换存量房贷，或者协商变更合同约定利率水平两种方式，调整存量首套住房商业性个人住房贷款，预计这两种方式调整后的利率水平不会有明显区别。经测算，以万元、年期、原利率的存量房贷为例，假设房贷利率降至，可每年节约超元利息支出。新杭州人小陈在年月买了一套萧山市北的二手房，首套利率（。此后多次下调，但由于加点实在太高，目前还是在的利率高位。小陈说，昨晚得知这个消息，激动得一夜没睡好，按照此次存量首套房贷的调整办法，如果按照下限计算，原利率将降至（当时杭州首套房贷利率政策下限为不加点）。对于购房者，的利率降幅是一笔厚厚的息差。以万商业贷款，年本额等息还款为例，调整后，小陈的月供将从元降至元，每个月少了元，总利息少了万元。（视频）视频的微博视频;0.0013835674755214;-0.5888581590501889;0.6169364012786266;-0.01816850851081311,,,,,
四川公示首套房贷利率执行下限月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日下午，人民银行四川省分行官网发布消息，公布了近几年四川省内各城市首套房贷款利率下限执行情况网页链接（中国人民银行四川省分行）;0.0008514261387824;0.7042377889229441;0.7990691126077458;0.01731882754338542,,,,,
约三分之二存量房贷符合利率下调标准算笔账个税政策利好每月能省多少钱月的最后一天，多项与个人、家庭息息相关的利好政策官宣出台。昨天，国务院宣布提高岁以下婴幼儿照护、子女教育、赡养老人三项个税专项附加扣除标准，中国人民银行、国家金融监督管理总局发布《关于降低存量首套住房贷展开;0.0043635589612601;0.0429435451376354;0.5498032990781162;0.0037240364573332373,,,,,
江苏公布首套房按揭利率政策下限江苏省各设区市首套房按揭利率政策下限公布月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日下午，中国人民银行江苏省分行官网发布消息，公布了近几年江苏省内各城市首套房贷款利率下限执行情况。网页链接;0.0058535547041294;-0.264929283074248;0.4907973173596247;-0.027511841809012113,,,,,
四川公布各市州首套房贷利率执行下限月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日，人民银行四川省分行公布了年以来四川省内各城市首套房贷款利率下限执行情况。（人民银行四川省分行）;0.000532141336739;-0.2809885809668369;0.7019320842520224;-0.0037938364158733454,,,,,
房贷首付比例下调，一线城市及热点二线城市最受益，但北上深存量房贷利率或难受益。央行月日发布《关于调整优化差别化住房信贷政策的通知》和《关于降低存量首套住房贷款利率有关事项的通知》引发市场一片欢腾。对于首套房，成首付，这大概是年之后第二次全国范围如此大力度普遍调整了。二套房成首付也是相当可以了。不过，对于很多城市，其实早享受到成首付，所以，此次调整或许对一线城市以及热点二线城市影响最大。在这些城市带动下，楼市向好的局面将会更加清晰。宏观上的信心提升不代表实际的购买力提升，毕竟首付比例下调仅仅是个门槛降低的问题，并没有带动购房者的购买力。所以也不可盲目乐观。现在经济与收入预期仍不稳定且不乐观，即使购房者看到如此利好很冲动我也要劝你慎重。但有一些需求将得以释放，这些人不差钱就差政策。对于存量房贷利率下调，这一次也是敲定了方案。月日北京、上海、深圳等也都相继公布房贷利率下限，不过恐怕要泼点冷水了，可能难以受益存量按揭利率下调。北京：年月至今首套商业性个人住房贷款利率下限为个。上海：年月日至今执行的利率下限水平为。深圳：年月日至今执行首套房贷利率下限水平为。央行规定的原则是，新发放贷款的利率水平，在贷款市场报价利率上的加点幅度，不得低于原贷款发放时所在城市首套住房商业性个人住房贷款利率政策下限。目前北京首套房新发放房贷利率下限为（加点），上海为（加点），深圳为（加点）。因为各地市场下行趋势下，除北上深以外，基本上都大幅下调了贷款的加点幅度，而北上深房贷利率加点政策基本上保持了稳定，所以，预计北上深很难受益存量按揭利率的可能下调，除非地方下调加点幅度。对于一些人来说，可能盼来盼去，等了个寂寞，也别光听别人怎么说，最好还是到你的承贷银行问一问，看看是否具备下调条件，能下调多少。首套房贷款最低首付比例不低于降存量首套房贷利率万存量房贷每年可省多元利息;0.0001064282673478;-0.9994376283202906;0.7017399320252903;-0.002698091778031822,,,,,
北上深公布首套房贷利率下限各地首套房贷利率下限公布月日，中国人民银行、金融监管总局联合发布的《关于降低存量首套住房贷款利率有关事项的通知》明确，自月日起，符合相关条件的存量房贷借款人，可向金融机构提出申请，既可以变更合同约定的住房贷款利率加点幅度，也可以由银行新发放贷款置换存量贷款。最关键的一句是：降低后的存量房贷利率，依然要符合贷款发放时当地的房地产政策，即不低于当时所在城市房贷利率政策下限。也就是说，存量房贷利率调整最多可以“抹平”银行在发放房贷时高于政策下限的“溢价”。为确保存量房贷利率调整顺利落地，央行分支机构陆续在官网公布首套商业性个人住房贷款利率自律下限有关情况。更多城市大家可以直接上央行官网的各个地方分行网站查看。;0.0002128565346956;-0.8388303379085074;0.7018360081386563;-0.004529649548890897,,,,,
四川公示首套房贷利率执行下限月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日下午，人民银行四川省分行官网发布消息，公布了近几年四川省内各城市首套房贷款利率下限执行情况。红星视频的微博视频;0.0006385696040868;-0.2174668034745472;0.7018360081386563;-0.003522935558267811,,,,,
四川公示首套房贷利率执行下限月日，人民银行四川省分行官网发布消息，公布了近几年四川省内各城市首套房贷款利率下限执行情况。记者注意到，根据公布的情况，成都今年月日至今执行利率下限为，年月日至今年月日利率下限为。月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。;0.0006385696040868;-0.21769273259802;0.7017399320252903;-0.0035261128177481475,,,,,
四川首套房贷利率执行下限发布月日晚，中国人民银行、国家金融监督管理总局联合发布《关于降低存量首套住房贷款利率有关事项的通知》。文件明确，从年月日起，存量首套住房商业性个人住房贷款的借款人可向承贷金融机构提出申请，由该金融机构新发放贷款置换存量贷款，但在贷款市场报价利率（）上的加点幅度，不得低于原贷款发放时所在城市首套房贷款利率政策下限。月日下午，人民银行四川省分行官网发布消息，公布了近几年四川省内各城市首套房贷款利率下限执行情况。（来源：红星新闻）;0.0150063856960408;0.1271774228740442;0.4519944904130893;0.03118078936753299,,,,,
